Symbol,HomeExg
A,NYSE
AA,NYSE
AAAA/TEST,AMEX
AAAP,NQNM
AAC,NYSE
AADR,PACF
AAL,NQNM
AAMC,AMEX
AAME,NQNM
AAN,NYSE
AAOI,NQNM
AAON,NQNM
AAP,NYSE
AAPL,NQNM
AAT,NYSE
AAU,AMEX
AAV,NYSE
AAWW,NQNM
AAXJ,NQNM
AB,NYSE
ABAC,NQSC
ABAX,NQNM
ABB,NYSE
ABBV,NYSE
ABC,NYSE
ABCB,NQNM
ABCD,NQSC
ABCO,NQNM
ABDC,NQNM
ABE,AMEX
ABEO,NQSC
ABEOW,NQSC
ABEV,NYSE
ABG,NYSE
ABIL,NQSC
ABIO,NQSC
ABM,NYSE
ABMD,NQNM
ABR,NYSE
ABR.PR.A,NYSE
ABR.PR.B,NYSE
ABR.PR.C,NYSE
ABRN,NYSE
ABT,NYSE
ABTL,NQSC
ABTX,NQNM
ABUS,NQNM
ABX,NYSE
ABY,NQNM
AC,NYSE
ACAD,NQNM
ACAT,NQNM
ACBI,NQNM
ACC,NYSE
ACCO,NYSE
ACET,NQNM
ACFC,NQNM
ACGL,NQNM
ACGLP,NQNM
ACH,NYSE
ACHC,NQNM
ACHN,NQNM
ACIA,NQNM
ACIM,PACF
ACIU,NQNM
ACIW,NQNM
ACLS,NQNM
ACLZ,NQBB
ACM,NYSE
ACN,NYSE
ACNB,NQSC
ACOR,NQNM
ACP,NYSE
ACRE,NYSE
ACRS,NQNM
ACRX,NQNM
ACSF,NQNM
ACSI,BATS
ACST,NQSC
ACTA,NQNM
ACTG,NQNM
ACTX,NQNM
ACU,AMEX
ACUR,NQSC
ACV,NYSE
ACWF,PACF
ACWI,NQNM
ACWV,PACF
ACWX,NQNM
ACXM,NQNM
ACY,AMEX
ADAP,NQNM
ADBE,NQNM
ADC,NYSE
ADES,NQNM
ADGE,AMEX
ADHD,NQNM
ADI,NQNM
ADK,AMEX
ADK.PR.A,AMEX
ADM,NYSE
ADMA,NQSC
ADMP,NQSC
